index,S:all,E:all,I:all,beta:all,v:all,k:all,vol:all,rep:all,phi:all,log_like
202,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
203,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
204,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
205,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
206,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
207,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
208,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
209,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
210,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
211,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
212,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
213,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
214,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
215,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
216,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
217,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
218,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
219,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
220,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
221,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
222,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
223,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
224,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
225,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
226,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
227,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
228,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
229,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
230,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
231,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
232,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
233,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
234,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
235,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
236,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
237,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
238,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
239,0.553575,0.000184418,3.81473e-05,1.46284,1.04843,1.58552,0.372676,0.1,0.1,-135.832
240,0.559405,0.000101751,1.43444e-05,1.37989,1.17958,1.58738,0.386277,0.1,0.1,-132.45
241,0.559405,0.000101751,1.43444e-05,1.37989,1.17958,1.58738,0.386277,0.1,0.1,-132.45
242,0.559405,0.000101751,1.43444e-05,1.37989,1.17958,1.58738,0.386277,0.1,0.1,-132.45
243,0.559405,0.000101751,1.43444e-05,1.37989,1.17958,1.58738,0.386277,0.1,0.1,-132.45
244,0.559405,0.000101751,1.43444e-05,1.37989,1.17958,1.58738,0.386277,0.1,0.1,-132.45
245,0.559405,0.000101751,1.43444e-05,1.37989,1.17958,1.58738,0.386277,0.1,0.1,-132.45
246,0.559405,0.000101751,1.43444e-05,1.37989,1.17958,1.58738,0.386277,0.1,0.1,-132.45
247,0.559405,0.000101751,1.43444e-05,1.37989,1.17958,1.58738,0.386277,0.1,0.1,-132.45
248,0.559405,0.000101751,1.43444e-05,1.37989,1.17958,1.58738,0.386277,0.1,0.1,-132.45
249,0.559405,0.000101751,1.43444e-05,1.37989,1.17958,1.58738,0.386277,0.1,0.1,-132.45
